Ingredient_id	name	Ingredient_image	Type
1	Egg	assets/img/ing/egg.png	Dairy & Eggs
2	Onion	assets/img/ing/onion.png	Vegetables
3	Potato	assets/img/ing/potato.png	Vegetables
4	Gram Flour	assets/img/ing/gramflour.png	Flours
5	Rice Flour	assets/img/ing/riceflour.png	Flours
6	Red Chilli Powder	assets/img/ing/redchillipowder.png	Spices
7	Garam Masala Powder	assets/img/ing/garammasalapowder.png	Spices
8	Asafoetida	assets/img/ing/asafoetida.png	Spices
10	Baking Soda	assets/img/ing/bakingsoda.png	Spices
11	Chaat Masala	assets/img/ing/chaatmasala.png	Spices
12	Salt	assets/img/ing/salt.png	Spices
13	Pepper	assets/img/ing/pepper.png	Spices
14	Vegetable Oil	assets/img/ing/vegetableoil.png	Oils
9	Milk	assets/img/ing/milk.png	Dairy & Eggs
15	Rice	assets/img/ing/rice.png	Rice
16	Tomato	assets/img/ing/tomato.png	Vegetables
17	Ginger	assets/img/ing/ginger.png	Spices
18	Garlic	assets/img/ing/garlic.png	Spices
19	Green Chilli	assets/img/ing/greenChilli.png	Vegetables
20	Mustard	assets/img/ing/mustard.png	Spices
21	Fenugreek seeds	assets/img/ing/fenugreekSeeds.png	Spices
22	Cinnamon	assets/img/ing/cinnamon.png	Spices
23	Cardamom	assets/img/ing/cardamom.png	Spices
24	Cloves	assets/img/ing/cloves.png	Spices
25	Curry Leaves	assets/img/ing/curryLeaves.png	Spices
26	Turmeric Powder	assets/img/ing/turmericPowder.png	Spices
27	Coriander Powder	assets/img/ing/corianderPowder.png	Spices
28	Cumin Powder	assets/img/ing/cuminPowder.png	Spices
29	Capsicum	assets/img/ing/capsicum.png	Vegetables
30	Chicken	assets/img/ing/chicken.png	Meat
31	Mint	assets/img/ing/mint.png	Vegetables
32	Carrot	assets/img/ing/carrot.png	Vegetables
33	Paneer	assets/img/paneer.png	Vegetables
34	Cauliflower	assets/img/cauliflower.png	Vegetables